ИЦ	1938
ДЛ	1927
ОИ	1905
ЯД	1879
ЯС	1863
ЯН	1861
УШ	1780
ЫС	1744
ИБ	1715
ОЯ	1703
НД	1651
ЯЛ	1628
РК	1621
ХА	1614
КС	1608
ОХ	1605
АЙ	1591
ЗЕ	1570
МЫ	1547
ИШ	1525
ГИ	1508
ЗИ	1505
ИГ	1503
ЦЕ	1498
НС	1498
ОЕ	1488
ВШ	1486
НЬ	1470
УН	1451
АХ	1437
ЬШ	1424
ШК	1408
ЫМ	1366
ЮР	1359
КН	1353
ЮД	1330
УВ	1328
РВ	1312
ВЗ	1311
ИЕ	1305
ЮЩ	1301
ВУ	1300
ЫШ	1297
ЧК	1291
ИХ	1281
ТЯ	1267
ШЛ	1259
АУ	1255
НК	1238
ШН	1235
ЙС	1218
МУ	1203
РМ	1175
ВТ	1171
ДЫ	1164
УХ	1163
ЛК	1152
СЯ	1125
ГУ	1116
ЦА	1112
АЯ	1099
ЯВ	1098
ВД	1073
ЧУ	1067
ПЫ	1063
ФЕ	1035
ЩА	1024
ЫР	1023
ПЯ	1017
ИЖ	1012
ЗР	1011
ДС	1005
ГН	1004
ЫК	1004
ЗЫ	987
ЙТ	975
ЕО	971
ЯМ	969
БН	960
УЗ	960
ОО	955
РЖ	939
ЗМ	918
ИО	905
НЦ	899
ЛЛ	894
ХЛ	893
ВЯ	885
ЗУ	880
ЙН	879
ИП	878
ЗЛ	876
ОЩ	874
РД	868
ЗГ	863
ЛН	862
УЩ	860
СЧ	849
ДК	844
ЫБ	842
ЯЗ	835
ЛЧ	831
ХН	829
РС	826
АЩ	822
АЦ	818
ФО	816
ЙЧ	809
ВК	802
ИЯ	790
ЯЩ	790
ЕЕ	785
ВП	766
ГЕ	760
ЙД	756
ФА	752
ЕХ	742
РШ	734
ДЦ	734
ФИ	731
ИА	718
СР	715
БЩ	694
ХВ	690
ЭД	683
МЛ	676
ИЩ	671
ТЛ	663
ЮБ	656
РГ	648
ХИ	646
СЫ	644
АИ	637
ДЯ	636
ЛЖ	628
РЭ	615
ЯК	611
ОФ	604
УЕ	604
ЗЯ	603
ШУ	590
СХ	575
ЮТ	558
ЫХ	554
БЪ	547
ЫП	541
ШО	541
УЮ	539
ЬЦ	534
ХР	529
ШТ	522
БС	515
СД	515
ЬЕ	512
КЕ	512
БК	498
КВ	495
ЪЯ	490
ЬМ	488
ЯЖ	485
ЯЕ	473
ЬЗ	466
МК	460
МП	459
МЯ	459
ЮЧ	458
НЧ	453
РБ	452
ЬТ	450
ЫЧ	445
РЧ	441
ПН	433
ОЦ	429
ЮС	428
ТМ	421
ЗК	415
ЕУ	411
РЬ	410
ВВ	410
ЭК	409
ЕЯ	409
ЗБ	405
ЖУ	396
ЦО	393
БЯ	390
ТЧ	389
ЩУ	387
ЕЦ	383
ЙК	375
ФУ	367
ТД	367
ЫГ	361
ЖК	360
ДТ	353
ЫН	350
ЕИ	344
ММ	343
ЯГ	342
СЮ	330
ДП	321
РП	320
ИЙ	317
ЯЧ	315
ЫД	314
ЯЮ	314
ДЬ	314
МБ	307
МС	307
ДЖ	306
ЬЯ	303
ТТ	302
ЙВ	297
ЪЕ	297
ГК	296
РЛ	290
АФ	290
ЧШ	288
РХ	286
ПТ	286
УЙ	286
ЛТ	282
ТП	281
РЮ	279
НГ	278
ПК	277
РЦ	272
ЛГ	269
ЛД	267
ЯР	265
ГВ	263
СШ	263
СЬ	263
ЗЬ	257
ЙШ	255
ЧЬ	255
РФ	254
ЕА	254
ЕФ	246
ПП	245
ЭЛ	242
ЫЗ	240
КЦ	236
ИФ	233
ЬЧ	229
ХУ	229
ЙМ	220
ВМ	219
ВЬ	218
НЩ	213
РР	208
ЭБ	205
ПЬ	204
ХМ	202
ЬД	195
ЩН	194
ВЧ	192
ЫЖ	190
ОУ	190
ПС	188
МР	185
НЮ	184
ЛП	184
РЗ	183
УА	182
ДМ	182
ЗЖ	179
ШЬ	177
АО	173
ЬБ	172
ФЛ	168
ЙР	168
МЧ	167
ЧО	163
ЙЦ	161
ФР	159
СФ	155
ОЭ	155
СБ	155
ЮН	153
ДЧ	150
БХ	150
ЦВ	149
ТЦ	148
ЮК	147
ЕЮ	146
СГ	144
СЦ	137
ЭР	135
НЖ	135
ЖО	133
НР	131
ЭН	126
НФ	126
МЬ	124
ЮМ	123
ЛЗ	122
ХС	121
ОЮ	121
ДБ	121
ЛМ	117
ТЮ	116
ТБ	116
БВ	112
ЬГ	105
ХТ	105
ЛБ	105
ЯП	104
ДШ	104
РЩ	103
БЬ	103
БМ	103
ЦК	101
ДХ	98
ЯХ	96
ХЕ	95
ШВ	94
ЫЯ	93
ГЧ	92
ТФ	92
ИУ	91
ОА	88
УЭ	88
СЪ	88
ЧЛ	88
КЗ	88
ЧР	87
ВЦ	86
ЯЦ	85
ДЪ	81
СЭ	79
ЭМ	78
КК	78
ТЩ	77
ЮЛ	77
ЮХ	77
СЖ	77
БЭ	76
НЗ	76
ЮШ	76
ЖЧ	75
ВХ	74
ТШ	73
НВ	72
ЖР	72
МГ	72
ЮЖ	71
ЯЙ	71
ЯЯ	71
ЖГ	71
ДД	70
ШП	69
ЭП	67
ЮП	67
ЭС	66
ЖЛ	66
ЦУ	65
ЮЦ	65
ЬО	64
ЬЮ	64
БЮ	64
ЫЙ	63
ГТ	61
БШ	60
МТ	60
КЖ	60
ЗЪ	59
ДЗ	58
ДГ	58
ХШ	55
ЖБ	55
ЙО	55
ДЮ	55
БЧ	54
ПЧ	53
ЖЬ	52
ЯИ	52
ШМ	51
ЦЫ	50
ЬФ	50
ВГ	50
ЭФ	50
АА	50
МЭ	50
ИИ	49
ЗЗ	48
ГС	47
ЖМ	47
ЮГ	44
ЮЗ	43
БД	43
ЯБ	43
ЮВ	43
ФФ	42
УИ	42
УУ	41
КШ	40
ЬВ	39
УЯ	39
ЖЖ	39
ТХ	38
ЛВ	38
ЬП	37
ВЩ	37
ЭВ	36
ЭЙ	36
БТ	36
ФТ	36
БЖ	35
УФ	35
ЯШ	33
МХ	33
ИЮ	32
ЙЗ	31
ПШ	31
ФН	31
ЬИ	29
УЦ	29
ЭЗ	28
ЬЩ	28
ЙФ	27
НШ	27
МФ	27
БГ	26
ГГ	26
ШР	26
ЙЛ	25
ЙЕ	25
УО	25
МВ	25
ГЭ	25
СЗ	25
ЫЕ	24
ЙЩ	24
ТГ	24
ЛШ	24
ФС	23
ЗТ	23
ЭГ	23
ЧМ	23
ВБ	22
ПЮ	22
НХ	22
КД	22
ПЭ	21
ЪЮ	21
ЩЬ	21
ЗШ	20
АЭ	20
БЦ	19
ПЦ	18
ХГ	18
ЗЧ	18
ЖП	18
МЦ	18
ЧВ	18
ГБ	17
ВЪ	17
КЭ	17
ЫЦ	16
ФЫ	16
ЛХ	16
БЗ	15
ХЭ	15
ЗЦ	15
КЮ	15
ЫЩ	14
ЖС	14
AN	14
ЫИ	13
ЭХ	13
IN	13
ЗС	13
ГМ	13
ТЭ	12
ФШ	12
ФМ	12
TH	12
МЮ	11
ШЮ	11
HI	11
HA	11
ПБ	10
НБ	10
ШЦ	10
ЛФ	10
NO	10
МЗ	10
ЧЖ	10
ГШ	9
EA	9
ХЦ	9
ЩР	9
ТЪ	9
ТЗ	9
ЛЩ	9
EN	8
YO	8
ХП	8
ДЭ	8
ББ	8
ФЮ	8
MO	8
ЖЯ	8
МШ	8
СЩ	8
TE	8
КМ	8
КХ	8
IE	7
ЙБ	7
ER	7
ХД	7
RO	7
LI	7
ЮЕ	6
PE	6
ЖЗ	6
IT	6
ЭУ	6
ON	6
OU	6
PA	5
MI	5
ЙГ	5
ST	5
LE	5
НЛ	5
ХЬ	5
ХК	5
ИЭ	5
NT	5
DI	5
RE	5
IS	5
ВЭ	5
ЩО	5
NA	5
N'	5
CH	5
AR	5
NG	4
ГЫ	4
ГЮ	4
ЭШ	4
EL	4
ЦР	4
MA	4
ЫУ	4
GO	4
WH	4
LL	4
ХЪ	4
ND	4
DE	4
НМ	4
НЭ	4
IR	4
OO	4
OM	4
ШЧ	4
HE	4
ЛЭ	4
UR	4
TI	4
TA	4
NE	4
WA	3
ГЗ	3
AT	3
SP	3
SU	3
ХХ	3
ЮО	3
KE	3
ЗЭ	3
ХI	3
WI	3
НЪ	3
ЦЗ	3
VI	3
TT	3
BE	3
ES	3
ШС	3
OP	3
HO	3
AS	3
GL	3
TO	3
AK	3
AM	3
КЧ	3
WE	2
НП	2
GA	2
ЭЧ	2
IC	2
GR	2
EE	2
EC	2
ЦЛ	2
MP	2
ЙА	2
SI	2
SO	2
GE	2
ГХ	2
ХЧ	2
RR	2
ЕЭ	2
ФЬ	2
XX	2
NS	2
KN	2
ЯУ	2
ЗЮ	2
EU	2
ET	2
ВЮ	2
Р/	2
PI	2
PO	2
XI	2
PR	2
ME	2
ЦД	2
DA	2
RI	2
ЦМ	2
IO	2
ТЖ	2
BO	2
'К	2
BU	2
IM	2
ШШ	2
OL	2
ХV	2
OS	2
OT	2
US	2
О'	2
ЧХ	2
CO	2
AG	2
AL	2
КЬ	2
КФ	2
ЮЮ	2
ЮЯ	1
ЭЭ	1
EO	1
EI	1
EK	1
ЮФ	1
OI	1
JA	1
SH	1
EG	1
ФЯ	1
ZN	1
ZI	1
М/	1
ЦП	1
AV	1
UZ	1
ЙП	1
FO	1
ЙЫ	1
ЙХ	1
NI	1
C'	1
SE	1
ВЖ	1
ПХ	1
ПФ	1
О/	1
LO	1
/С	1
ЬЭ	1
ХЫ	1
ЭО	1
RP	1
RZ	1
ХЗ	1
ЭЯ	1
L'	1
DU	1
ЮА	1
БП	1
NC	1
Д'	1
ЭЕ	1
II	1
ФЭ	1
ФЦ	1
ФЧ	1
XV	1
MB	1
KA	1
KI	1
KO	1
DL	1
00	1
АЫ	1
PL	1
УЫ	1
PP	1
PU	1
ЖВ	1
ЖТ	1
ЖЦ	1
DO	1
RF	1
RG	1
RA	1
CK	1
RL	1
RN	1
CU	1
CT	1
WR	1
ЭЦ	1
ЮЙ	1
МЩ	1
MK	1
'А	1
BA	1
TR	1
BR	1
RD	1
OF	1
ШБ	1
OG	1
OY	1
NK	1
ЛР	1
ЫЭ	1
ЮЭ	1
AP	1
UM	1
UL	1
UD	1
UA	1
UC	1
AW	1
FE	1
ЧЯ	1
ЧЭ	1
TZ	1
TU	1
TL	1
CA	1
AC	1
AI	1
CE	1
КБ	1
КГ	1
'E	1
'H	1
